CustomizationTablesMaxColors,ProdReference,Name,SEOName,Description,ShortDescription,SEOShortDescription,SEOShortDescriptionCap,IsTextil,HasColors,HasSizes,HasCapacitys,CombinedSizes,Gender,DefaultCustomizationIncludedInPrice,AvailableGross,BoxLengthMM,BoxWidthMM,BoxHeightMM,BoxSizeM,BoxWeightKG,BoxVolume,BoxQuantity,BoxInnerQuantity,Multiplier,Taric,Type,TypeCode,SubType,SubTypeCode,MainImage,BoxImage,BagImage,PouchImage,AditionalImageList,AllImageList,Brand,CountryOfOrigin,PvcFree,Properties,ProductCare,Certificates,WeightGr,Composition,Packing,Weight,Repacking,RefillType,BatteryType,Materials,PaperSize,PaperGramage,CapacityMah,CapacityGB,InkColor,OtherDetails,KeyWords,RelatedReferences,Video360,VideoLink,VideoLinkVimeo,Sizes,Capacitys,Colors,ProductComponents,ProductDefaultComponent,ProductComponentLocations,ProductComponentDefaultLocation,ProductComponentDefaultLocationAreaMM,ProductComposedLocations,CustomizationTypes,CustomizationDefaultType,CustomizationTables,CustomizationDefaultTable,CustomizationTableOptions,CustomizationTableOptionsMaxColors,CustomizationTableOptionsHandlingCosts,CustomizationTableOptionsHandlingCostCodes,CustomizationDefault,CustomizationDefaultTableMaxColors,CustomizationDefaultHandlingCosts,CustomizationDefaultHandlingCostCode,CustomizationDefaultPrintingLines,IsSeasonal,SeasonalOccasion,SeasonalStartDate,SeasonalEndDate,PriceByCapacity,IsStockOut,OnlineExclusive,NewProduct,YourPrice,ScalePrices,ProductOptionals,Components,CertificateFiles,Catalogs,UpdateDate,NoReplenishment,WebSku
"4, 4, 4, 4, 4",92352,"AVERY. Bolsa para notebook 14"" em soft shell",AVERY,Bolsa em soft shell para notebook até 14''. 355 x 280 x 30 mm,Bolsa em soft shell para notebook até 14'',"AVERY. Bolsa para notebook 14"" em soft shell","AVERY. BOLSA PARA NOTEBOOK 14"" EM SOFT SHELL",false,true,false,false,355 x 280 x 30 mm,,false,true,6.3,4.6,4.1,0.630X0.460X0.410,9.95,0.106,100,50,1,4202.32.00,"Mochilas, Malas & Pastas",5,Bolsas para PC/ Tablet,174,92352_set.jpg,,,,,"92352_set.jpg, 92352_103.jpg, 92352_103-a.jpg, 92352_103-c.jpg",hi!dea™,China,false,,,,,,,89,Sem polybag,,,Soft shell,,,0,0,,,"bolsas, bolsas para notebook, 28061, certificado",,,,,,,Preto,Bolsa computador,Bolsa computador,"Frente, Verso",Frente,260 x 190,"Bolsa computador - Frente, Bolsa computador - Verso",Transfer,Transfer,"TRS2-01, TRS2-02, TRS2-03, TRS2-04, TRS2-05",TRS2-01-01,"TRS2-01-01, TRS2-01-02, TRS2-01-03, TRS2-01-04, TRS2-01-F, TRS2-02-01, TRS2-02-02, TRS2-02-03, TRS2-02-04, TRS2-02-F, TRS2-03-01, TRS2-03-02, TRS2-03-03, TRS2-03-04, TRS2-03-F, TRS2-04-01, TRS2-04-02, TRS2-04-03, TRS2-04-04, TRS2-04-F, TRS2-05-01, TRS2-05-02, TRS2-05-03, TRS2-05-04, TRS2-05-F","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4",,,Bolsa computador - Frente (Transfer - 260 x 190),4,0,,92352_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],,"SPOT,Últimas Chegadas",11/18/2024 09:03:06,false,92352-103
"4, 4, 4",92544,MUZEUL. Bolsa de cintura em 300D de alta densidade,MUZEUL,"Bolsa de cintura em 300D de alta densidade. Compartimento principal com fecho e bolso interior em rede elástica e bolso na parte posterior de fácil acesso, ideal para guardar os bens com maior segurança. A parte frontal contém um bolso em rede elástica, um bolso com pala, botão para fecho e um elástico na lateral, indicado para pendurar mosquetões ou óculos de sol. A alça é ajustável em webbing com fecho. 270 x 120 x 65 mm","Bolsa de cintura em 300D de alta densidade. Compartimento principal com fecho e bolso interior em rede elástica e bolso na parte posterior de fácil acesso, ideal para guardar os bens com maior segurança. A parte frontal contém um bolso em rede elástica, um bolso com pala, botão para fecho e um elástico na lateral, indicado para pendurar mosquetões ou óculos de sol. A alça é ajustável em webbing com fecho",MUZEUL. Bolsa de cintura em 300D de alta densidade,MUZEUL. BOLSA DE CINTURA EM 300D DE ALTA DENSIDADE,false,true,false,false,270 x 120 x 65 mm,,false,true,4.3,3.3,3.3,0.430X0.330X0.330,9.3,0.048,50,1,1,4202.22.20,"Mochilas, Pastas & Sacolas",0032,Bolsas Multiusos,1130,92544_set.jpg,,,,,"92544_set.jpg, 92544_113-a.jpg, 92544_113.jpg",hi!dea™,China,false,,,REACH,,,,160,,,,300D,,,0,0,,,"bolsas de cintura, 28062, certificado, certificados",92545,,,,,,Cinza,Bolsa,Bolsa,"Topo, Verso",Topo,100 x 35,"Bolsa - Topo, Bolsa - Verso",Transfer,Transfer,"TRS1-01, TRS1-02, TRS1-03",TRS1-01-01,"TRS1-01-01, TRS1-01-02, TRS1-01-03, TRS1-01-04, TRS1-01-F, TRS1-02-01, TRS1-02-02, TRS1-02-03, TRS1-02-04, TRS1-02-F, TRS1-03-01, TRS1-03-02, TRS1-03-03, TRS1-03-04, TRS1-03-F","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4",,,Bolsa - Topo (Transfer - 100 x 35),4,0,,92544_1_1_1.png,false,,,,,true,false,false,22.13,[object Object],[object Object],[object Object],cert_92544.zip,Stockout,11/18/2024 09:03:06,false,92544-113
"4, 4, 4",92724,WILLIS. Bolsa de comésticos em microfibra,WILLIS,Bolsa de cosméticos em microfibra com vários bolsos interiores e gancho de pendurar. 200 x 160 x 85 mm,Bolsa de cosméticos em microfibra com vários bolsos interiores e gancho de pendurar,WILLIS. Bolsa de comésticos em microfibra,WILLIS. BOLSA DE COMÉSTICOS EM MICROFIBRA,false,true,false,false,200 x 160 x 85 mm,,false,true,5,4.1,4.1,0.500X0.410X0.410,12.7,0.086,100,50,1,4202.92.00,Pessoal & Viagem,6,Bolsas de Cosméticos,1132,92724_set.jpg,,,,,"92724_set.jpg, 92724_103-c.jpg, 92724_103.jpg, 92724_104.jpg, 92724_131.jpg",hi!dea™,China,false,,,,,,,108,Sem polybag,,,Microfibra,,,0,0,,,"necesser, bolsa, bolsas, viagem, necessaires, certificado",,,,,,,"Azul, Bege, Preto",Bolsa cosméticos,Bolsa cosméticos,"Frente, Verso",Frente,120 x 60,"Bolsa cosméticos - Frente, Bolsa cosméticos - Verso",Transfer,Transfer,"TRS2-01, TRS2-02, TRS2-03",TRS2-01-01,"TRS2-01-01, TRS2-01-02, TRS2-01-03, TRS2-01-04, TRS2-01-F, TRS2-02-01, TRS2-02-02, TRS2-02-03, TRS2-02-04, TRS2-02-F, TRS2-03-01, TRS2-03-02, TRS2-03-03, TRS2-03-04, TRS2-03-F","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4",,,Bolsa cosméticos - Frente (Transfer - 120 x 60),4,0,,92724_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]",[object Object],,"SPOT,Últimas Chegadas",11/18/2024 09:03:06,false,92724-103
"4, 4, 4, 4, 4, 4, 4",92869,FERIA. Sacola 100% algodão (180 g/m²),FERIA,Sacola 100% algodão (180 g/m²) com alças de 60 cm em cortiça e com bolso interior. 450 x 400 x 105 mm,Sacola 100% algodão (180 g/m²) com alças de 60 cm em cortiça e com bolso interior,FERIA. Sacola 100% algodão (180 g/m²),FERIA. SACOLA 100% ALGODÃO (180 G/M²),false,true,false,false,450 x 400 x 105 mm,,false,true,4.8,4.3,2.6,0.480X0.430X0.260,11.7,0.054,100,10,1,4202.92.00,Sacolas & Bolsas Térmicas,9,Sacos de Compras Algodão,190,92869_set.jpg,,,,,"92869_set.jpg, 92869_160-a-logo.jpg, 92869_amb.jpg, 92869_160.jpg, 92869_160-a.jpg",hi!dea™,China,false,,,REACH,,,Polybag,105,Sem polybag,,,100% algodão,,,0,0,,,"sacolas, saco, mala, malas, compras, shopping, ecologic, ecologico, ecológicos, eco, produtos eco, sustentável, sustentáveis, certificado, certificados","92882, 92924, 92927, 92932",,,,,,Natural,Sacola,Sacola,"Frente, Verso, Bolso interior",Frente,,"Sacola - Frente, Sacola - Verso, Sacola - Bolso interior","Transfer, Silk screen têxtil",,"TRS1-01, TRS1-02, TRS1-03, TRS1-04, TRS1-05, TXP1-01, TXP1-02",,"TRS1-01-01, TRS1-01-02, TRS1-01-03, TRS1-01-04, TRS1-01-F, TRS1-02-01, TRS1-02-02, TRS1-02-03, TRS1-02-04, TRS1-02-F, TRS1-03-01, TRS1-03-02, TRS1-03-03, TRS1-03-04, TRS1-03-F, TRS1-04-01, TRS1-04-02, TRS1-04-03, TRS1-04-04, TRS1-04-F, TRS1-05-01, TRS1-05-02, TRS1-05-03, TRS1-05-04, TRS1-05-F, TXP1-01-01, TXP1-01-02, TXP1-01-03, TXP1-01-04, TXP1-02-01, TXP1-02-02, TXP1-02-03, TXP1-02-04","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 1, 2, 3, 4",,,,,0,,,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],cert_92869.zip,SPOT,11/18/2024 09:03:06,false,92869-160
"4, 4, 4, 4, 4, 4, 4, 4",92998,PERTINA. Sacola dobrável em non-woven (80 g/m²),PERTINA,"Sacola dobrável em non-woven (80 g/m²) com alças de 65 cm. Fornecida desdobrada. Dobrado: 200 x 120 mm | Aberto: 400 x 450 x 200 mm",Sacola dobrável em non-woven (80 g/m²) com alças de 65 cm. Fornecida desdobrada,PERTINA. Sacola dobrável em non-woven (80 g/m²),PERTINA. SACOLA DOBRÁVEL EM NON-WOVEN (80 G/M²),false,true,false,false,"Dobrado: 200 x 120 mm | Aberto: 400 x 450 x 200 mm",,false,true,5.5,5,5,0.550X0.500X0.500,15,0.138,200,50,1,4202.92.00,Sacolas & Bolsas Térmicas,9,Sacos de Compras Non-woven,193,92998_set.jpg,,,,,"92998_set.jpg, 92998_105-c.jpg, 92998_105.jpg, 92998_105-a.jpg, 92998_106.jpg, 92998_106-a.jpg, 92998_106-c.jpg, 92998_109.jpg, 92998_109-a.jpg, 92998_109-c.jpg, 92998_134.jpg, 92998_134-a.jpg, 92998_134-c.jpg",hi!dea™,China,false,,,REACH,80 g/m²,,Polybag,72,Sem polybag,,,Non-woven: 80 g/m²,,,0,,,,"sacolas, sacolas dobráveis, mala, malas, compras, shopping, tnt, 11125, certificado, certificados",,,,,,,"Azul marinho, Branco, Verde, Vermelho",Sacola,Sacola,"Frente, Bolso lateral, Pala, Verso",Frente,270 x 260,"Sacola - Frente, Sacola - Bolso lateral, Sacola - Pala, Sacola - Verso","Transfer, Silk screen têxtil",Silk screen têxtil,"TRS3-01, TRS3-02, TRS3-03, TRS3-04, TRS3-05, TRS3-06, TXP1-01, TXP1-02",TXP1-02-01,"TRS3-01-01, TRS3-01-02, TRS3-01-03, TRS3-01-04, TRS3-01-F, TRS3-02-01, TRS3-02-02, TRS3-02-03, TRS3-02-04, TRS3-02-F, TRS3-03-01, TRS3-03-02, TRS3-03-03, TRS3-03-04, TRS3-03-F, TRS3-04-01, TRS3-04-02, TRS3-04-03, TRS3-04-04, TRS3-04-F, TRS3-05-01, TRS3-05-02, TRS3-05-03, TRS3-05-04, TRS3-05-F, TRS3-06-01, TRS3-06-02, TRS3-06-03, TRS3-06-04, TRS3-06-F, TXP1-01-01, TXP1-01-02, TXP1-01-03, TXP1-01-04, TXP1-02-01, TXP1-02-02, TXP1-02-03, TXP1-02-04","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 1, 2, 3, 4",,,Sacola - Frente (Silk screen têxtil - 270 x 260),1,0,,92998_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]",[object Object],,SPOT,11/18/2024 09:03:06,false,92998-106
"4, 4, 4, 4, 1, 4, 4, 5, 5",93422,BRONTE. Caderno A7 em cartão com folhas lisas,BRONTE,"Caderno A7 de capa dura em cartão, 70 folhas lisas em papel reciclado e elástico. Incluso lápis com borracha na ponta. 82 x 105 mm","Caderno A7 de capa dura em cartão, 70 folhas lisas em papel reciclado e elástico. Incluso lápis com borracha na ponta",BRONTE. Caderno A7 em cartão com folhas lisas,BRONTE. CADERNO A7 EM CARTÃO COM FOLHAS LISAS,false,true,false,false,82 x 105 mm,,false,true,3.6,2.7,2.4,0.360X0.270X0.240,9,0.023,160,20,1,48202000,Escritório,4,Blocos Ecológicos,1631,93422_set.jpg,,,,,"93422_set.jpg, 93422_103-logo.jpg, 93422_103.jpg, 93422_105.jpg, 93422_106.jpg, 93422_106-a.jpg, 93422_119.jpg, 93422_134.jpg, 93422_150.jpg, 93422_150-a.jpg",hi!dea™,China,false,"Tamanho A7, Folhas Lisas, Our nature, Papel Reciclado",,REACH,,,Polybag,51,Sem polybag,,,Cartão,,,0,0,,,"cadernos, blocos, notebooks, certificado, certificados","93427, 93428, 93461, 93485",,,,,,"Azul marinho, Branco, Natural claro, Preto, Verde claro, Vermelho","Bloco,Lápis",Bloco,"Frente, Verso, Corpo",Corpo,40 x 80,"Bloco - Frente, Bloco - Verso, Lápis - Corpo","UV Digital, Silk Screen, Transfer, Tampografia",UV Digital,"DUV1-01, DUV1-02, DUV1-03, DUV1-04, SCR1-01, TRS1-01, TRS1-02, PDP3-01, PDP2-01",DUV1-01-F,"DUV1-01-F, DUV1-02-F, DUV1-03-F, DUV1-04-F, SCR1-01-01, TRS1-01-01, TRS1-01-02, TRS1-01-03, TRS1-01-04, TRS1-01-F, TRS1-02-01, TRS1-02-02, TRS1-02-03, TRS1-02-04, TRS1-02-F, PDP3-01-01, PDP3-01-02, PDP3-01-03, PDP3-01-04, PDP3-01-05, PDP2-01-01, PDP2-01-02, PDP2-01-03, PDP2-01-04, PDP2-01-05","4, 4, 4, 4, 1, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5",,,Bloco - Frente (UV Digital - 40 x 80),4,0,,93422_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]",cert_93422.zip,"SPOT,Últimas Chegadas,Our Nature",11/18/2024 09:03:06,false,93422-103
"3, 4, 4, 4, 4, 4, 5",93715,ASIMOV. Caderno B6 espiral com folhas lisas,ASIMOV,"Caderno B6 espiral de capa dura em cartão, com 60 folhas lisas em papel reciclado e suporte para esferográfica (inclusa). 130 x 177 mm","Caderno B6 espiral de capa dura em cartão, com 60 folhas lisas em papel reciclado e suporte para esferográfica (inclusa)",ASIMOV. Caderno B6 espiral com folhas lisas,ASIMOV. CADERNO B6 ESPIRAL COM FOLHAS LISAS,false,true,false,false,130 x 177 mm,,false,true,3.8,3.4,2.7,0.380X0.340X0.270,12.5,0.031,100,20,1,4820.20.00,Escritório,4,Blocos Ecológicos,1631,93715_set.jpg,,,,,"93715_set.jpg, 93715_103.jpg, 93715_104.jpg, 93715_105.jpg, 93715_109.jpg",hi!dea™,China,false,"Escrita a azul, Tamanho B6, Folhas Lisas, Our nature, Papel kraft",,"MSDS, REACH",,,Polybag,112,Sem polybag,,,Papel craft,,,0,0,Azul,,"cadernos, blocos, notebooks, ecologic, ecologico, ecológicos, eco, produtos eco, sustentável, sustentáveis, certificado, certificados","93422, 93428",,,,,,"Azul, Preto, Verde, Vermelho","Bloco,Esferográfica",Bloco,"Frente, Verso, Corpo, Corpo 2",Corpo,70 x 160,"Bloco - Frente, Bloco - Verso, Esferográfica - Corpo, Esferográfica - Corpo 2","Silk Screen, Transfer, UV Digital, Tampografia",Transfer,"SCR3-01, TRS1-01, TRS1-02, TRS1-03, TRS1-04, DUV1-01, PDP1-01",TRS1-01-01,"SCR3-01-01, SCR3-01-02, SCR3-01-03, TRS1-01-01, TRS1-01-02, TRS1-01-03, TRS1-01-04, TRS1-01-F, TRS1-02-01, TRS1-02-02, TRS1-02-03, TRS1-02-04, TRS1-02-F, TRS1-03-01, TRS1-03-02, TRS1-03-03, TRS1-03-04, TRS1-03-F, TRS1-04-01, TRS1-04-02, TRS1-04-03, TRS1-04-04, TRS1-04-F, DUV1-01-F, PDP1-01-01, PDP1-01-02, PDP1-01-03, PDP1-01-04, PDP1-01-05","1, 2, 3, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 4, 1, 2, 3, 4, 5",,,Bloco - Frente (Transfer - 70 x 160),4,0,,93715_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object]",cert_93715.zip,"SPOT,Últimas Chegadas,Our Nature",11/18/2024 09:03:06,false,93715-103
"4, 4, 4",93725,CARREY. Caderno A5 em canvas (poliéster) com folhas lisas,CARREY,"Caderno A5 de capa dura em canvas (poliéster). Contém 96 folhas lisas em cor marfim, fita separadora, elástico e suporte para esferográfica (não inclusa). Fornecido em bolsa de non-woven. 148 x 210 mm | Bolsa: 185 x 240 mm","Caderno A5 de capa dura em canvas (poliéster). Contém 96 folhas lisas em cor marfim, fita separadora, elástico e suporte para esferográfica (não inclusa). Fornecido em bolsa de non-woven",CARREY. Caderno A5 em canvas (poliéster) com folhas lisas,CARREY. CADERNO A5 EM CANVAS (POLIÉSTER) COM FOLHAS LISAS,false,true,false,false,"148 x 210 mm | Bolsa: 185 x 240 mm",,false,true,3.3,2.5,1.9,0.330X0.250X0.190,6.41,0.016,20,10,1,4820.20.00,Escritório,4,Blocos com Função,1630,93725_set.jpg,,,93725_103-pouch.jpg,,"93725_set.jpg, 93725_103-pouch.jpg, 93725_103.jpg, 93725_104.jpg, 93725_104-pouch.jpg, 93725_113.jpg, 93725_113-pouch.jpg, 93725_113-c.jpg",hi!dea™,China,false,"Tamanho A5, Folhas lisas cor marfim",,REACH,70 g/m²,,Bolsa em non-woven,285,Sem polybag,,,Algodão canvas sintético,,,0,0,,,"cadernos, blocos, notebooks, certificado, certificados","93726, 93734",,,,,,"Azul, Cinza, Preto",Bloco,Bloco,"Frente, Verso",Frente,95 x 140,"Bloco - Frente, Bloco - Verso",Transfer,Transfer,"TRS3-01, TRS3-02, TRS3-03",TRS3-01-01,"TRS3-01-01, TRS3-01-02, TRS3-01-03, TRS3-01-04, TRS3-01-F, TRS3-02-01, TRS3-02-02, TRS3-02-03, TRS3-02-04, TRS3-02-F, TRS3-03-01, TRS3-03-02, TRS3-03-03, TRS3-03-04, TRS3-03-F","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4",,,Bloco - Frente (Transfer - 95 x 140),4,0,,93725_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]",[object Object],cert_93725.zip,"SPOT,Últimas Chegadas",11/18/2024 09:03:06,false,93725-103
"4, 2",93735,TAZY. Porta cartões em kraft reciclado com elástico,TAZY,"Porta cartões em kraft reciclado com elástico, acompanha 6 blocos adesivados com 22 folhas cada. 104 x 65 x 5 mm","Porta cartões em kraft reciclado com elástico, acompanha 6 blocos adesivados com 22 folhas cada",TAZY. Porta cartões em kraft reciclado com elástico,TAZY. PORTA CARTÕES EM KRAFT RECICLADO COM ELÁSTICO,false,true,false,false,104 x 65 x 5 mm,,false,true,6.2,1.6,3.2,0.620X0.160X0.320,9.8,0.02,500,100,1,48202000,Escritório,4,Notas Adesivas,160,93735_set.jpg,,,,,"93735_set.jpg, 93735_104.jpg, 93735_103.jpg, 93735_103-c.jpg, 93735_106.jpg, 93735_160.jpg, 93735_160-c.jpg",hi!dea™,China,false,"Our nature, Papel kraft",,REACH,,,Sem polybag,18,Sem polybag,,,Papel craft,,,0,0,,,"blocos adesivados, adesivo, adesivos, certificado, certificado, certificados","93791, 93794",,,,,,"Azul, Branco, Natural, Preto",Bloco,Bloco,Frente,Frente,30 x 50,Bloco - Frente,"Tampografia, Silk Screen",Tampografia,"PDP3-01, SCR1-01",PDP3-01-01,"PDP3-01-01, PDP3-01-02, PDP3-01-03, PDP3-01-04, SCR1-01-01, SCR1-01-02","1, 2, 3, 4, 1, 2",,,Bloco - Frente (Tampografia - 30 x 50),4,0,,93735_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object],[object Object]",[object Object],cert_93735.zip,"SPOT,Últimas Chegadas,Our Nature",11/18/2024 09:03:06,false,93735-103
"4, 4, 4, 4, 4, 1, 4, 4, 4, 1, 5",93791,COOPER. 6 blocos adesivados com folhas lisas e esferográfica em papel kraft,COOPER,6 blocos adesivados com 25 folhas cada e capa em papel kraft reciclado. Incluso caderno com 50 folhas lisas e esferográfica em papel kraft reciclado. Escrita em azul. 100 x 150 mm,6 blocos adesivados com 25 folhas cada e capa em papel kraft reciclado. Incluso caderno com 50 folhas lisas e esferográfica em papel kraft reciclado. Escrita em azul,COOPER. 6 blocos adesivados com folhas lisas e esferográfica em papel kraft,COOPER. 6 BLOCOS ADESIVADOS COM FOLHAS LISAS E ESFEROGRÁFICA EM PAPEL KRAFT,false,true,false,false,100 x 150 mm,,false,true,5.5,3.3,2.6,0.550X0.330X0.260,17.3,0.044,200,100,1,4820.20.00,Escritório,4,Blocos Ecológicos,1631,93791_set.jpg,,,,,"93791_set.jpg, 93791_103-c.jpg, 93791_amb.jpg, 93791_103.jpg, 93791_104.jpg, 93791_104-c.jpg, 93791_160.jpg, 93791_160-a.jpg, 93791_160-c.jpg",hi!dea™,China,false,"Escrita a azul, Folhas Lisas, Our nature, Papel Reciclado",,,,,Polybag,82,Sem polybag,,,Cartão,,,0,0,Azul,,"cadernos, blocos, notebooks, certificado","93775, 93794",,,,,,"Azul, Natural, Preto","Bloco,Esferográfica",Bloco,"Frente, Verso, Clipe, Oposto do clipe, Corpo 2, Corpo",Corpo 2,60 x 60,"Bloco - Frente, Bloco - Verso, Esferográfica - Clipe, Esferográfica - Oposto do clipe, Esferográfica - Corpo 2, Esferográfica - Corpo","UV Digital, Silk Screen, Transfer, Tampografia",Silk Screen,"DUV1-01, DUV1-02, DUV1-03, DUV1-04, DUV1-05, SCR1-01, TRS1-01, TRS1-02, TRS1-03, PDP1-01, PDP2-01",SCR1-01-01,"DUV1-01-F, DUV1-02-F, DUV1-03-F, DUV1-04-F, DUV1-05-F, SCR1-01-01, TRS1-01-01, TRS1-01-02, TRS1-01-03, TRS1-01-04, TRS1-01-F, TRS1-02-01, TRS1-02-02, TRS1-02-03, TRS1-02-04, TRS1-02-F, TRS1-03-01, TRS1-03-02, TRS1-03-03, TRS1-03-04, TRS1-03-F, PDP1-01-01, PDP1-01-02, PDP1-01-03, PDP1-01-04, PDP1-01-05, PDP2-01-01, PDP2-01-02, PDP2-01-03, PDP2-01-04, PDP2-01-05","4, 4, 4, 4, 4, 1, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 5, 1, 2, 3, 4, 5",,,Bloco - Frente (Silk Screen - 60 x 60),1,0,,93791_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]","[object Object],[object Object],[object Object]","[object Object],[object Object]",,"SPOT,Our Nature",11/18/2024 09:03:06,false,93791-103
"2, 1",93804,KENNY II. Caneca em vidro com efeito fosco 340 mL,KENNY II,"Caneca em vidro com efeito fosco com capacidade até 340 mL. Fornecida em caixa presente branca. Certificação EU Food Grade. ø80 x 97 mm | Caixa: 120 x 88 x 102 mm",Caneca em vidro com efeito fosco com capacidade até 340 mL. Fornecida em caixa presente branca. Certificação EU Food Grade,KENNY II. Caneca em vidro com efeito fosco 340 mL,KENNY II. CANECA EM VIDRO COM EFEITO FOSCO 340 ML,false,true,false,false,"ø80 x 97 mm | Caixa: 120 x 88 x 102 mm",,false,true,5.4,2.3,3.6,0.540X0.230X0.360,14,0.045,36,18,1,7013.49.00,Squeezes & Copos,10,Canecas,100,93804_set.jpg,,,,,"93804_set.jpg, 93804_106-logo.jpg, 93804_106.jpg",hi!dea™,China,false,"Apropriado para comida, Fornecido em caixa de oferta",,Food Safety,,,Caixa branca,365,Caixa branca,,,Vidro,,,0,0,,,"canecas, copo, copos, café, chá, chavena, bebida, bebidas, certificado, certificados",94768,,,,,,Branco,Caneca,Caneca,"Fundo, Corpo",Fundo,,"Caneca - Fundo, Caneca - Corpo","Tampografia, Silk Screen",,"PDP4-01, SCR3-01",,"PDP4-01-01, PDP4-01-02, SCR3-01-01","1, 2, 1",,,,,0,,,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],[object Object],,SPOT,11/18/2024 09:03:06,false,93804-106
"4, 4, 4, 1, 1, 1, 1, 1",94112,CHAMP. Kit churrasco com 4 utensílios,CHAMP,"Kit churrasco composto por 4 utensílios: faca, garfo e pinça em aço inox e madeira de Seringueira e uma luva de cozinha. O estojo dobrável em 600D pode ser convertível em avental para sua proteção. Certificação EU Food Grade. Dobrado e fechado: 130 x 480 mm,","Kit churrasco composto por 4 utensílios: faca, garfo e pinça em aço inox e madeira de Seringueira e uma luva de cozinha. O estojo dobrável em 600D pode ser convertível em avental para sua proteção. Certificação EU Food Grade",CHAMP. Kit churrasco com 4 utensílios,CHAMP. KIT CHURRASCO COM 4 UTENSÍLIOS,false,true,false,false,"Dobrado e fechado: 130 x 480 mm,",,false,true,4.95,3.35,3.9,0.495X0.335X0.390,12,0.065,24,0,1,8215.20.00,"Casa, Restaurante & Bar",8,Barbecue,1041,94112_103-a.jpg,,,94112_103-pouch.jpg,,"94112_103-a.jpg, 94112_amb.jpg, 94112_103.jpg, 94112_103-pouch.jpg, 94112_103-c.jpg, 94112_103-d.jpg, 94112_103-e.jpg, 94112_103-f.jpg",hi!dea™,China,false,Apropriado para comida,,Food Safety,,,Polybag,1,,,,600D. Aço inox. Madeira,,,,,,,"kits de churrasco, churrascos, certificado, certificados",94101,,,,,,Preto,"Avental,Faca,Pinça,Garfo",Avental,"Frente, Lámina, Cabo, Cabo, Cabo",Cabo,140 x 95,"Avental - Frente, Faca - Lámina, Faca - Cabo, Pinça - Cabo, Garfo - Cabo","Transfer, Laser",Transfer,"TRS1-01, TRS1-02, TRS1-03, LSR1-01, LSR1-02, LSR1-03, LSR1-04, LSR1-05",TRS1-01-01,"TRS1-01-01, TRS1-01-02, TRS1-01-03, TRS1-01-04, TRS1-01-F, TRS1-02-01, TRS1-02-02, TRS1-02-03, TRS1-02-04, TRS1-02-F, TRS1-03-01, TRS1-03-02, TRS1-03-03, TRS1-03-04, TRS1-03-F, LSR1-01-01, LSR1-02-01, LSR1-03-01, LSR1-04-01, LSR1-05-01","1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 2, 3, 4, 4, 1, 1, 1, 1, 1",,,Avental - Frente (Transfer - 140 x 95),4,0,,94112_1_1_1.png,false,,,,,false,false,false,,"[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],"[object Object],[object Object],[object Object],[object Object]",cert_94112.zip,"SPOT,Últimas Chegadas",11/18/2024 09:03:06,false,94112-103
